Id;brand;name;price;n_of_reviews;n_of_loves;review_score;size;clean_product;category
101;Origins;Plantscription™ Anti-Aging Eye Treatment;48;157;8304;40892;0.5 oz;1;Eye Creams & Treatments
102;Obagi Clinical;Kinetin+ Hydrating Eye Cream;65;107;2327;44112;0.5 oz;0;Eye Creams & Treatments
103;Guerlain;Orchidée Impériale Eye Serum;230;3;1024;5;0.5 oz;0;Eye Creams & Treatments
104;Peter Thomas Roth;Instant FIRMx Eye™;38;383;5774;35692;1 oz;0;Eye Masks
105;Origins;Plantscription™ Anti-Aging Power Eye Cream;49;108;9167;37963;0.5 oz;1;Eye Creams & Treatments
106;First Aid Beauty;Eye Duty Triple Remedy Overnight Balm;38;171;11058;3655;0.5 oz;0;Eye Masks
107;BeautyBio;Bright Eyes Collagen-Infused Brightening Colloidal Silver Eye Masks;40;25;2907;384;None;0;Eye Masks
108;Naturally Serious;Zero Baggage Anti-Dark Circle Eye Cream;44;23;2425;33913;0.67 oz;1;Eye Creams & Treatments
109;Dr Roebuck's;Down Under Collagen Boosting Eye Treatment;38;73;6557;37808;0.5 oz;1;Eye Creams & Treatments
110;Tatcha;Luminous Deep Hydration Revitalizing Eye Mask;12;51;14555;36667;None;1;Eye Masks
112;bareMinerals;SKINLONGEVITY™ Vital Power Eye Gel Cream;32;35;5375;38857;0.5 oz;0;Eye Creams & Treatments
113;Dr. Dennis Gross Skincare;Hyaluronic Marine Dew It Right Eye Gel;48;72;8609;38056;0.5 oz;0;Eye Creams & Treatments
114;Algenist;GENIUS Ultimate Anti-Aging Eye Cream;74;92;4495;36957;0.5 oz;0;Eye Creams & Treatments
115;Erno Laszlo;Multi-Task Eye Serum Mask;35;20;4893;43;None;0;Eye Masks
116;Perricone MD;High Potency Classics: Firming Eye Lift;72;245;947;42857;0.5 oz;0;Eye Creams & Treatments
117;Murad;Essential-C Eye Cream SPF 15 PA++;70;247;6096;3996;0.5 oz;0;Eye Creams & Treatments
118;AMOREPACIFIC;TIME RESPONSE Eye Reserve Crème;260;7;545;48571;0.5 oz;0;Eye Creams & Treatments
119;CLINIQUE;Clinique Smart Custom-Repair Eye Treatment;50;32;2235;35;0.5 oz;0;Eye Creams & Treatments
120;Shiseido;Ultimune Eye Power Infusing Eye Concentrate;67;71;8887;38732;0.54 oz;0;Eye Creams & Treatments
121;Peter Thomas Roth;Un-Wrinkle Eye;100;92;2921;38478;0.5 oz;0;Eye Creams & Treatments
122;REN Clean Skincare;Keep Young And Beautiful™ Instant Brightening Beauty Shot Eye Lift;45;60;4996;36333;0.5 oz;1;Eye Creams & Treatments
123;CLINIQUE;Moisture Surge Eye 96-Hour Hydro-Filler Concentrate;35;4;308;325;0.5 oz;0;Eye Creams & Treatments
124;Fresh;Lotus Youth Preserve Eye Cream;45;134;9383;34776;0.5 oz;0;Eye Creams & Treatments
125;Charlotte Tilbury;Magic Eye Rescue Cream;60;21;4254;37143;0.51 oz;0;Eye Creams & Treatments
126;Dr. Dennis Gross Skincare;SpectraLite EyeCare Pro LED Device;159;31;5590;37742;None;0;Tools
127;philosophy;A Glowing Regimen Trial Set;34;14;6526;47143;None;0;Value & Gift Sets
128;Lancome;Visionnaire Eye Cream Advanced Multi-Correcting Eye Balm;65;387;4072;39276;0.5 oz;0;Eye Creams & Treatments
129;Perricone MD;Essential Fx Acyl-Glutathione Smoothing & Brightening Under-Eye Cream;122;170;2340;45588;0.5 oz;0;Eye Creams & Treatments
130;Dr. Brandt Skincare;24/7 Retinol Eye Cream;55;42;6409;34286;0.5 oz;0;Eye Creams & Treatments
131;Kate Somerville;Goat Milk De-Puffing Eye Balm;38;142;7443;38662;0.3 oz;0;Eye Creams & Treatments
132;Murad;Hydro-Dynamic® Ultimate Moisture For Eyes;70;76;2952;41447;0.5 oz;0;Eye Creams & Treatments
133;Skinfix;Redness Recovery+ Antioxidant Eye Treatment;48;4;462;4;0.5 oz;1;Eye Creams & Treatments
134;Kiehl's Since 1851;Youth Dose Eye Treatment;39;39;3773;27436;0.5 oz;0;Eye Creams & Treatments
135;Dermalogica;Age Reversal Eye Complex;80;7;524;4;0.5 oz;0;Eye Creams & Treatments
136;Clarisonic;Sonic Awakening Eye Massager;59;6;2504;43333;None;0;Tools
137;BeautyBio;GloPRO® EYE MicroTip™ Attachment Head;35;2;1654;45;None;0;Tools
138;Estee Lauder;Advanced Night Repair Eye Serum Synchronized Complex II;66;41;5013;34878;0.5 oz;0;Eye Creams & Treatments
139;Edible Beauty;Gold Rush Eye Balm;65;57;5943;42105;0.3 oz;1;Eye Creams & Treatments
140;Kiehl's Since 1851;Super Multi-Corrective Eye-Opening Serum;48;16;3080;38125;0.5 oz;0;Eye Creams & Treatments
141;Peter Thomas Roth;Retinol Fusion PM Eye Cream;55;42;4215;37381;0.5 oz;0;Eye Creams & Treatments
142;Perricone MD;No Makeup Concealer Broad Spectrum SPF 20;35;176;6776;38125;0.30 oz;0;Eye Creams & Treatments
143;Dior;Capture Totale Multi-Perfection Eye Treatment;105;20;1361;35;0.5 oz;0;Eye Creams & Treatments
144;philosophy;Hope In A Tube Eye & Lip Cream;38;735;7993;41918;0.5 oz;0;Eye Creams & Treatments
145;CLINIQUE;Even Better Eyes Dark Circle Corrector;42;369;13175;32575;0.34 oz;0;Eye Creams & Treatments
146;Origins;No Puffery™ Cooling Roll-On For Puffy Eyes;29;110;10242;34364;0.5 oz;1;Eye Creams & Treatments
147;Shiseido;Bio Performance Glow Revival Eye Treatment;70;21;2851;40476;0.54 oz;0;Eye Creams & Treatments
148;Obagi Clinical;Vitamin C Eye Brightener;60;69;2348;42899;0.5 oz;0;Eye Creams & Treatments
149;Anthony;High Performance Continuous Moisture Eye Cream;38;35;2670;42857;0.75 oz;0;Eye Cream
150;Klorane;Smoothing and Relaxing Patches with Soothing Cornflower;24;117;4972;39402;None;0;Eye Masks
151;Fresh;Crème Ancienne Supreme Eye Serum;168;5;1851;4;0.5 oz;0;Eye Creams & Treatments
152;SEPHORA COLLECTION;Eye Mask - Grape - Smoothing;5;2;0;3;None;0;Eye Masks
153;Indie Lee;I-Waken Eye Serum;48;18;4511;4;0.5 oz;1;Eye Creams & Treatments
154;Kiehl's Since 1851;Powerful Wrinkle Reducing Eye Cream;43;22;3241;39091;0.5 oz;0;Eye Creams & Treatments
155;Kate Somerville;Wrinkle Warrior® Eye Gel Visible Dark Circle Eraser;60;67;3281;29701;0.3 oz;0;Eye Creams & Treatments
156;Kate Somerville;Age Arrest Eye Cream;75;42;2591;36429;0.5 oz;0;Eye Creams & Treatments
157;Dior;One Essential Eye Serum;72;17;4064;42941;0.5 oz;0;Eye Creams & Treatments
158;Skin Inc Supplement Bar;Vitamin A Serum EVEN TONE & REDUCE DARK CIRCLES;35;21;5254;35238;0.34 oz;0;Eye Creams & Treatments
159;Dr. Jart+;Water Fuse Hydro Soothe Eye Gel;42;49;6325;36122;0.7 oz;0;Eye Creams & Treatments
160;REN Clean Skincare;Keep Young and Beautiful Anti-Ageing Eye Cream;42;53;3332;36981;0.5 oz;1;Eye Creams & Treatments
161;philosophy;Ultimate Miracle Worker Eye Cream;70;31;2384;39677;0.5 oz;0;Eye Creams & Treatments
162;philosophy;Renewed Hope In A Jar Eye;51;80;2981;3725;0.5 oz;0;Eye Creams & Treatments
163;Foreo;IRIS™ Illuminating Eye Massager;139;46;5356;35652;None;0;Tools
164;NARS;Total Replenishing Eye Cream;58;14;2685;32857;0.52 oz;0;Eye Creams & Treatments
165;DERMAdoctor;Wrinkle Revenge Eye Balm;50;378;6263;40635;0.5 oz;0;Eye Creams & Treatments
166;SK-II;Ultimate Revival Eye Cream;195;5;772;28;0.52 oz;0;Eye Creams & Treatments
167;Shiseido;Benefiance NutriPerfect Eye Serum;78;12;1459;4;0.53 oz;0;Eye Creams & Treatments
168;Algenist;ELEVATE Firming & Lifting Contouring Eye Cream;72;21;825;3;0.5 oz;0;Eye Creams & Treatments
169;Guerlain;Orchidee Imperiale The Eye and Lip Contour Cream;200;6;586;33333;0.5 oz;0;Eye Creams & Treatments
170;Perricone MD;Vitamin C Ester Brightening Eye Serum;60;320;3109;40938;0.5 oz;0;Eye Creams & Treatments
171;Perricone MD;Neuropeptide Firming & Illuminating Under-Eye Cream;170;4;1379;45;0.5 oz;0;Eye Creams & Treatments
172;bareMinerals;BRILLIANT FUTURE™ Age Defense & Renew Eye Cream;38;17;2442;34706;0.5 oz;0;Eye Masks
173;Estee Lauder;Advanced Night Repair Concentrated Recovery Eye Mask;46;5;5531;34;None;0;Eye Creams & Treatments
174;Estee Lauder;Revitalizing Supreme Global Anti-Aging Eye Balm;62;8;701;3875;0.5 oz;0;Eye Creams & Treatments
175;philosophy;Time In A Bottle For Eyes 100% In-Control;65;9;2077;35556;0.5 oz;0;Eye Creams & Treatments
176;Dior;Capture Youth Age-Delay Advanced Eye Treatment;75;3;505;33333;1 oz;0;Eye Creams & Treatments
177;Eve Lom;Radiance Antioxidant Eye Cream;75;1;339;4;0.5 oz;0;Eye Creams & Treatments
178;Kate Somerville;Line Release Under Eye Repair Cream;125;66;2656;39091;0.5 oz;0;Eye Creams & Treatments
179;Omorovicza;Reviving Eye Cream;145;16;1679;375;0.5 oz;1;Eye Creams & Treatments
180;Estee Lauder;Advanced Time Zone Age Reversing Line/Wrinkle Eye Creme;64;6;1004;35;0.5 oz;0;Eye Creams & Treatments
181;Tata Harper;Illuminating Eye Crème;105;39;2317;30513;0.5 oz;1;Eye Creams & Treatments
182;philosophy;Ultimate Miracle Worker Fix Eye Power-Treatment;68;15;1520;4;0.5 oz;0;Eye Creams & Treatments
183;Origins;Dr. Andrew Weil for Origins™ Mega-Bright Dark Circle Minimizer;46;129;4887;31938;0.5 oz;1;Eye Creams & Treatments
184;Lancôme;ABSOLUE PREMIUM Bx - Absolute Replenishing Eye Cream;110;26;1389;38846;0.5 oz;0;Eye Creams & Treatments
185;Origins;A Perfect World™ SPF 20 Age-Defense Eye Cream with White Tea;41;44;4205;39318;0.5 oz;1;Eye Creams & Treatments
186;belif;Peat Miracle Revital Eye Cream;58;127;12940;42598;0.84 oz;0;Eye Creams & Treatments
187;KORRES;Black Pine 3D Sculpting, Firming & Lifting Eye Cream;56;20;2314;395;0.51 oz;1;Eye Creams & Treatments
188;Dior;Hydra Life Cooling Hydration Sorbet Eye Gel;55;14;2515;38571;0.5 oz;0;Eye Creams & Treatments
189;Shiseido;Essential Energy Eye Definer;42;2;399;4;0.55 oz;0;Eye Creams & Treatments
190;Clarins;Multi-Active Eye;46;17;1872;35294;0.5 oz;0;Eye Creams & Treatments
191;DERMAdoctor;Kakadu C™ Eye Soufflé;68;36;2906;38056;0.5 oz;0;Eye Creams & Treatments
192;DERMAdoctor;Photo Dynamic Therapy Energizing Eye Renewal Cream;65;61;1600;3918;0.5 oz;0;Eye Creams & Treatments
193;L'Occitane;Immortelle Eye Balm;45;216;5019;41435;0.5 oz;0;Eye Creams & Treatments
194;Lancome;Énergie de Vie The Illuminating & Anti-Fatigue Cooling Eye Gel;42;46;3549;35217;0.5 oz;0;Eye Creams & Treatments
195;First Aid Beauty;Hello FAB Kona Eye Stick;24;87;4752;33333;0.13 oz;0;Eye Creams & Treatments
196;Skin Laundry;Wrinkle Release Eye Cream with Peptides;30;9;2116;37778;0.5 oz;0;Eye Creams & Treatments
197;L'Occitane;Divine Eyes;80;16;1465;36875;0.5 oz;0;Eye Creams & Treatments
198;Alpha-H;Liquid Gold Firming Eye Cream;99;0;133;0;0.51 oz;0;Eye Creams & Treatments
199;Clarins;Eye Contour Gel;42;97;2645;37835;0.7 oz;0;Eye Creams & Treatments
200;Kiehl's Since 1851;Powerful-Strength Line-Reducing Eye-Brightening Concentrate;44;12;2019;31667;0.5 oz;0;Eye Creams & Treatments
201;Estee Lauder;DayWear Eye Cooling Anti-Oxidant Moisture GelCreme;40;4;803;375;0.5 oz;0;Eye Creams & Treatments
202;boscia;Sake Brightening Bio-Cellulose Eye Masks;15;36;1382;18333;None;0;Eye Masks
203;philosophy;Take a Deep Breath Oxygenating Eye Gel Cream;42;21;1732;41429;0.5 oz;0;Eye Creams & Treatments
204;Dr. Brandt Skincare;Xtend Your Youth Eye Cream;46;21;983;29524;0.5 oz;0;Eye Creams & Treatments
205;philosophy;Purity Made Simple Hydra-Bounce Eye Gel;24;48;3225;35;0.5 oz;0;Eye Creams & Treatments
206;Peter Thomas Roth;FIRMx™ 360 Eye Renewal;75;2;314;25;0.5 oz;0;Eye Creams & Treatments
207;Perricone MD;H2 Elemental Energy De-Puffing Eye Gel;75;13;1736;30769;0.5 oz;0;Eye Creams & Treatments
208;Clarins;Enhancing Eye Lift Serum;65;10;1307;34;0.5 oz;0;Eye Creams & Treatments
209;REN Clean Skincare;Vita Mineral™ Active 7 Eye Gel ;34;144;3065;37361;0.5 oz;1;Eye Creams & Treatments
210;Clarins;Mission Perfection Eye Broad Spectrum SPF 15;50;3;378;3;0.5 oz;0;Eye Creams & Treatments
211;Kate Somerville;KateCeuticals™ Contouring Eye Serum;125;2;1045;3;0.5 oz;0;Eye Creams & Treatments
212;Eve Lom;Time Retreat Eye Treatment;75;13;1590;35385;0.5 oz;0;Eye Creams & Treatments
213;SEPHORA COLLECTION;Eye Mask;5;382;49010;39921;0.21 oz;0;Sheet Masks
214;KENZOKI;Belle de Jour Angel Eyes White Lotus Care;71;7;398;34286;0.5 oz;0;Eye Creams & Treatments
215;Yves Saint Laurent;Forever Light Creator Eye Fluid;73;7;1154;34286;0.5 oz;0;Eye Creams & Treatments
216;Origins;Dr. Weil For Origins™ Mega-Mushroom Skin Relief Eye Serum;50;11;2261;4;0.5 oz;1;Eye Creams & Treatments
217;Klorane;BB Eye Cream with Soothing Cornflower;26;21;1625;32381;0.5 oz;0;Eye Creams & Treatments
218;The Inkey List;Caffeine Eye Cream;999;0;287;0;0.5 oz;0;Eye Creams & Treatments
219;Guerlain;Abeille Royale Gold Eyetech Eye Sculpt Serum;130;13;2659;40769;0.5 oz;0;Eye Creams & Treatments
220;KENZOKI;Lotus Caress to Moisturize Eyes;35;8;606;35;0.5 oz;0;Eye Creams & Treatments
221;Perricone MD;PRE:EMPT SERIES™ Brightening Eye Cream;55;65;4172;34769;0.5 oz;0;Eye Creams & Treatments
